Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
Wald ratio,1,29.521576621240452,0.15502737378923626,0.10627347251948471,0.14463147861170067,1.1676899247655337,PACS1
Wald ratio,1,161.00382948557413,0.15752143824446732,0.06494246188085889,0.01528504805332731,1.1706058534471524,PAAF1
Wald ratio,1,25.511080459886188,0.0264052834751872,0.10254907642936106,0.7968011226795999,1.0267569918018147,NAALAD2
Wald ratio,1,24.94089034026875,0.2569697284926662,0.11181453000344087,0.02155164220637329,1.29300598492676,CWC15
Wald ratio,1,38.38435414637234,-0.21018609206660138,0.08535254763963286,0.013794763666403531,0.8104334167071999,PPP2R1B
Wald ratio,1,187.25614390081375,-0.04132490797076627,0.04593549867933485,0.36831770466262714,0.9595173244696908,SNX19
Wald ratio,1,32.150960024137966,0.17413403902120536,0.09238537781389566,0.05944795855600771,1.1902150903946052,SUOX
IVW,2,18.914069456746176,-0.03797917425569917,0.05697897292516051,0.505061411710515,0.962732990313513,RPS26
IVW,2,20.229240932376985,0.007606136627552274,0.16447230821296,0.963114420004757,1.0076351367644574,NABP2
Wald ratio,1,19.610305355753326,-0.23579558507194617,0.30049443435039574,0.4326341619283136,0.7899421333942429,ATP2B1
Wald ratio,1,20.700299232505163,-0.05270145935821172,0.26774489018792585,0.8439569709574091,0.9486631847269925,PLBD2
Wald ratio,1,47.833854981998506,-0.2691844474809053,0.08619928526382173,0.00179130117966797,0.7640023243472551,TESC
Wald ratio,1,123.44311312992627,-0.04748242792761969,0.044784687124241156,0.2890363291088158,0.9536272301921105,DDX55
Wald ratio,1,25.496824690287422,0.16301984731375646,0.14028534961733544,0.2452115167702409,1.1770600509367783,WASF3
Wald ratio,1,23.91898614259484,-0.003751269154744897,0.11655713642679608,0.9743253548832203,0.9962557580656463,SLC46A3
Wald ratio,1,24.025676866181083,-0.08269396530371632,0.13973031615031756,0.5539770261457915,0.9206328497071075,HMGB1
Wald ratio,1,18.881866238893434,0.26523177457435865,0.12455102031567927,0.033212664848583984,1.3037331129504903,N4BP2L2
Wald ratio,1,30.255601475004497,0.2452952046199966,0.09450200154048104,0.009440903050854432,1.2779985285942743,RCBTB1
Wald ratio,1,19.705320780861143,0.034551610475392465,0.0981738635418732,0.7248809612492872,1.0351554518624724,ARL11
Wald ratio,1,21.847454082975062,-0.22735266781804475,0.07231017634357216,0.0016658084404805873,0.7966397835292173,ATP7B
Wald ratio,1,28.033008479177308,0.21755180206346292,0.10040924473359743,0.03026146671035046,1.2430298193495415,ANKRD10
IVW,2,21.867676262268247,-0.13137676656308248,0.14269749511214097,0.35722470613478485,0.876887330319159,F7
Wald ratio,1,39.71836784357175,0.10558672427060022,0.057055894205660984,0.06422942492147676,1.1113624824443016,TMEM255B
IVW,4,18.985387231256503,0.02456336398839423,0.15523961548008722,0.8742765819641858,1.02486752874402,LRP10
Wald ratio,1,34.98736115684229,0.06055643374232904,0.11524881079719483,0.5992767584127028,1.0624275526413136,DHRS4
Wald ratio,1,34.436305419466414,-0.14812702531183483,0.09417075239106139,0.115727592106178,0.8623215713182877,PCK2
